Auto Art,9356 Franklin Ave,"Franklin Park, IL 60131", 847-455-5522, 847-455-5533, info@autoartinc.com,41.9341569,-87.8606917, Send Tow Request to All Star Tow,"https://maps.googleapis.com/maps/api/streetview?size=276x129&location=41.9341569,-87.8606917&key=AIzaSyActTShUbrnDKcB4P94Qh4cj3JpsvdAjyE",yesTow
Procision Auto Body,2701 SW Adams St,"Peoria, IL 61602", 309-637-1946, 309-637-1397, procision@sbcglobal.net,40.6721575,-89.619195, Send Tow Request to Shop,"https://maps.googleapis.com/maps/api/streetview?size=276x129&location=40.672214,-89.619290&key=AIzaSyActTShUbrnDKcB4P94Qh4cj3JpsvdAjyE",yesTow
United Collision and Customs,3003 S State St,"Lockport, IL 60441", 815-774-3223, 779-205-3381, UnitedCollision3003@yahoo.com,41.563804,-88.0692992, Send Tow Request to All Star Tow,"https://maps.googleapis.com/maps/api/streetview?size=276x129&location=41.563804,-88.06929919999999&key=AIzaSyActTShUbrnDKcB4P94Qh4cj3JpsvdAjyE",noTow
Tony's Collision Care Center,8219 Christiana Ave,"Skokie, IL 60076", 847-673-9630, 847-673-9631, tonyscollision@aol.com,42.0306338,-87.7121477, Send Tow Request to All Star Tow,"https://maps.googleapis.com/maps/api/streetview?size=276x129&location=42.0306338,-87.7121477&key=AIzaSyActTShUbrnDKcB4P94Qh4cj3JpsvdAjyE",yesTow
Auto Dome,2729 Belvidere Rd,"Waukegan, IL 60085", 847-406-3040, 847-406-3045, autodome@gmail.com,42.3491794,-87.8696149, Send Tow Request to All Star Tow,"https://maps.googleapis.com/maps/api/streetview?size=276x129&location=42.3491794,-87.8696149&key=AIzaSyActTShUbrnDKcB4P94Qh4cj3JpsvdAjyE",noTow
Martinez Auto Body,630 E. State St.,"Hammond, IN 46320", 219-852-0718, 219-852-0739, arnie@martinezautobodyweb.com,41.616711,-87.512712, Send Tow Request to Shop,"https://maps.googleapis.com/maps/api/streetview?size=276x129&location=41.616711,-87.512712&key=AIzaSyActTShUbrnDKcB4P94Qh4cj3JpsvdAjyE",yesTow
Williamson Collision Center,4965 Massachusetts Ave,"Indianapolis, IN 46218", 317-545-6471, 317-545-6750, carzz@indy.rr.com,39.808958,-86.086781, Send Tow Request to Shop,"https://maps.googleapis.com/maps/api/streetview?size=276x129&location=39.808958,-86.086781&key=AIzaSyActTShUbrnDKcB4P94Qh4cj3JpsvdAjyE",yesTow
Fineline Collision,735 N Highland Ave,"Aurora, IL 60506", 630-896-1837, 331-302-5829, aurora@finelinecollision.net,41.771855,-88.329115, Send Tow Request to All Star Tow,"https://maps.googleapis.com/maps/api/streetview?size=276x129&location=41.771855,-88.329115&key=AIzaSyActTShUbrnDKcB4P94Qh4cj3JpsvdAjyE",yesTow
Fineline Collision,2402 McDonough St,"Joliet, IL 60436", 779-206-4919, No Fax, estimates@finelinecollision.net,41.5146179,-88.14124579, Send Tow Request to All Star Tow,"https://maps.googleapis.com/maps/api/streetview?size=276x129&location=41.5146179008629,-88.14124578569624&key=AIzaSyActTShUbrnDKcB4P94Qh4cj3JpsvdAjyE",yesTow
Classic Collision Center,8583 S Chicago Ave,"Chicago, IL 60617", 773-731-9191, 773-731-9294, cautorebui@aol.com,41.739062,-87.568015, Send Tow Request to All Star Tow,"https://maps.googleapis.com/maps/api/streetview?size=276x129&location=41.739062,-87.568015&key=AIzaSyActTShUbrnDKcB4P94Qh4cj3JpsvdAjyE",yesTow
Super Sports Automotive,1521 Hubbard Ave,"Batavia, IL 60510", 630-326-9443, 855-564-2101, info@supersportsautomotive.com,41.85998568,-88.27569678, Send Tow Request to All Star Tow,"https://maps.googleapis.com/maps/api/streetview?size=276x129&location=41.85998567532675,-88.2756967793628&key=AIzaSyActTShUbrnDKcB4P94Qh4cj3JpsvdAjyE",yesTow
A & D Imports,7535 W. Irving Park Rd,"Chicago, IL 60634", 773-625-8920, 773-625-5678, ad-import@hotmail.com,41.95237,-87.816, Send Tow Request to All Star Tow,"https://maps.googleapis.com/maps/api/streetview?size=276x129&location=41.952370,-87.816000&key=AIzaSyActTShUbrnDKcB4P94Qh4cj3JpsvdAjyE",yesTow
AK Auto Service,4747 N. Pulaski,"Chicago, IL 60630", 773-267-4447, 773-267-0360, akauto4747@gmail.com,41.96779,-87.72794, Send Tow Request to All Star Tow,"https://maps.googleapis.com/maps/api/streetview?size=276x129&location=41.967790,-87.727940&key=AIzaSyActTShUbrnDKcB4P94Qh4cj3JpsvdAjyE",yesTow
Albor's Collision Center,250 W. Factory Road,"Addison, IL 60101", 630-543-7330, 630-543-7345, alborscollision@gmail.com,41.91388727,-87.99573783, Send Tow Request to All Star Tow,"https://maps.googleapis.com/maps/api/streetview?size=276x129&location=41.91388727339324,-87.99573783091473&key=AIzaSyActTShUbrnDKcB4P94Qh4cj3JpsvdAjyE",yesTow
All Makes Auto Rebuilders,5038 S. Cristiana,"Chicago, IL 60632", 773-778-9090, 773-778-9092, christianomotors@gmail.com,41.80151767,-87.70762049, Send Tow Request to All Star Tow<br> **** OVERFLOW ONLY - DO NOT SEND FOR P&E ****,"https://maps.googleapis.com/maps/api/streetview?size=276x129&location=41.801517672935184,-87.70762048586417&key=AIzaSyActTShUbrnDKcB4P94Qh4cj3JpsvdAjyE",yesTow
G Pacini Auto Body,1615 Mannheim Rd,"Stone Park, IL 60165", 708-344-6164, No Fax, gpautobody@sbcglobal.net,41.90068269,-87.88345852, Send Tow Request to All Star Tow,"https://maps.googleapis.com/maps/api/streetview?size=276x129&location=41.90068269355846,-87.8834585226005&key=AIzaSyActTShUbrnDKcB4P94Qh4cj3JpsvdAjyE",yesTow
South End Auto Rebuilders,3741 W Columbus Ave,"Chicago, IL 60652", 773-735-6700, No Fax, southend1@comcast.net,41.7402347,-87.71502684, Send Tow Request to All Star Tow,"https://maps.googleapis.com/maps/api/streetview?size=276x129&location=41.740234700346576,-87.71502684112663&key=AIzaSyActTShUbrnDKcB4P94Qh4cj3JpsvdAjyE",yesTow
Gietl Brothers Auto Body,109 S 2nd St,"Springfield, IL 62701", 217-528-7351, No Fax, gietlbrothers@sbcglobal.net,39.80133441,-89.65347985, Send Tow Request to Shop,"https://maps.googleapis.com/maps/api/streetview?size=276x129&location=39.80133441062365,-89.65347985218352&key=AIzaSyActTShUbrnDKcB4P94Qh4cj3JpsvdAjyE",yesTow
Central Car Clinic Inc,530 Zenith Dr,"Glenview, IL 60025", 847-298-3001, No Fax, centralcarclinic@gmail.com,42.06473681,-87.86663326, No Tows,"https://maps.googleapis.com/maps/api/streetview?size=276x129&location=42.064736805442756,-87.86663325848386&key=AIzaSyActTShUbrnDKcB4P94Qh4cj3JpsvdAjyE",noTow
Cicero Berwyn Auto Body,6101 W 31st St,"Cicero, IL 60804", 708-652-6614, No Fax, ciceroberwynabs@gmail.com,41.83590823,-87.77610397, Send Tow Request to All Star Tow,"https://maps.googleapis.com/maps/api/streetview?size=276x129&location=41.8362188,-87.7763228&key=AIzaSyActTShUbrnDKcB4P94Qh4cj3JpsvdAjyE",yesTow
Sout End Auto Rebuilders,3741 W Columbus Ave,"Chicago, IL 60652", 773-735-6700, No Fax, southend1@comcast.net,41.74023837,-87.71502405, Send Tow Request to All Star Tow,"https://maps.googleapis.com/maps/api/streetview?size=276x129&location=41.740238370555076,-87.71502405249103&key=AIzaSyActTShUbrnDKcB4P94Qh4cj3JpsvdAjyE",yesTow
Maaco Collision Repair & Auto Painting,413 E Stewart St,"Bloomington, IL 61701", 309-585-4114, No Fax, maacobloomington@outlook.com,40.4647231,-88.98806032, Send Tow Request to Shop,"https://maps.googleapis.com/maps/api/streetview?size=276x129&location=40.46472309839636,-88.98806031554396&key=AIzaSyActTShUbrnDKcB4P94Qh4cj3JpsvdAjyE",yesTow
Kirk Auto Company,235 State Hwy 7 Frontage Rd,"Grenada, MS 38901", 662-226-3632, No Fax, kirkfordbodyshop@yahoo.com,33.78518378,-89.84576786, Send Tow Request to Shop,"https://maps.googleapis.com/maps/api/streetview?size=276x129&location=33.78518377803133,-89.84576785835982&key=AIzaSyActTShUbrnDKcB4P94Qh4cj3JpsvdAjyE",yesTow
Cannon Ford of Starkville,12249 MS-182,"Starkville, MS 39759", 662-323-1900, No Fax, kjernigan@nobodybeatsacannondeal.com,33.4706686,-88.7661067, Send Tow Request to Shop,"https://maps.googleapis.com/maps/api/streetview?size=276x129&location=33.4706686,-88.7661067&key=AIzaSyActTShUbrnDKcB4P94Qh4cj3JpsvdAjyE",yesTow
Absolute Body Shop,2211 Sweets Dr,"Carbondale, IL 62902", 618-457-1919, No Fax, absolutebodyshop@hotmail.com,37.74124458,-89.16559441, Send Tow Request to Shop,"https://maps.googleapis.com/maps/api/streetview?size=276x129&location=37.74124458229224,-89.16559440705856&key=AIzaSyActTShUbrnDKcB4P94Qh4cj3JpsvdAjyE",yesTow
Preferred Auto Body,6915 S Ashland Ave,"Chicago, IL 60636", 773-778-3160, No Fax, preferredautobody6915@gmail.com,41.7680061,-87.6638084, Send Tow Request to All Star Tow,"https://maps.googleapis.com/maps/api/streetview?size=276x129&location=41.7680061,-87.6638084&key=AIzaSyActTShUbrnDKcB4P94Qh4cj3JpsvdAjyE",yesTow
Complete Auto Service,4542 S Western Ave,"Chicago, IL 60609", 773-254-2241, No Fax, complete4542@sbcglobal.net,41.8107184,-87.6845414, Send Tow Request to All Star Tow,"https://maps.googleapis.com/maps/api/streetview?size=276x129&location=41.8107184,-87.6845414&key=AIzaSyActTShUbrnDKcB4P94Qh4cj3JpsvdAjyE",yesTow
By-Pass Auto Body,2300 E Clear Lake Ave,"Springfield, IL 62703", 217-544-1965, No Fax, bypass1571@sbcglobal.net,39.80122944,-89.62062179, Send Tow Request to Shop,"https://maps.googleapis.com/maps/api/streetview?size=276x129&location=39.801229437960565,-89.62062179368516&key=AIzaSyActTShUbrnDKcB4P94Qh4cj3JpsvdAjyE",yesTow
ADA Collision Repair,5100 W 26th St,"Cicero, IL 60804", 312-684-8169, No Fax, adacollisionreair@gmail.com,41.84410239,-87.75155062, Send Tow Request to All Star Tow,"https://maps.googleapis.com/maps/api/streetview?size=276x129&location=41.84410239348907,-87.75155061568584&key=AIzaSyActTShUbrnDKcB4P94Qh4cj3JpsvdAjyE",yesTow
